English Terms,中文翻译
Accelerated Depreciation,加快折旧
Accident and Health Benefits,意外与健康福利
Accounts Receivable (AR),应收账款
Accretive Acquisition,具增值作用的收购项目
Acid Test,酸性测试比率
Act of God Bond,天灾债券
Active Bond Crowd,活跃债券投资者
Active Income,活动收入
Active Investing,积极投资
Active Management,积极管理
Activity Based Budgeting,以活动为基础的预算案
Activity Based Management,以活动为基础的管理
Activity Ratio,活动比率
Actual Return,实际回报
Actuary,精算
Acquisition,收购
Acquisition Premium,收购溢价
Affiliated Companies,联营公司
Affiliated Person,关联人士
After Hours Trading,收盘后交易
After Tax Operating Income - ATOI,税后营运收入
After Tax Profit Margin,税后利润率
After The Bell,收盘铃后
Agent,代理人
Agency Bonds,机构债券
Agency Cross,交叉代理人
Agency Problem,代理问题
Agency Securities,机构证券
Aggregate Exercise Price,总行使价格
Aggressive Accounting,激进会计法
Aggressive Investment Strategy,进取投资策略
Alan Greenspan,格林斯潘
Allotment,配股
Allowance For Doubtful Accounts,呆账准备金
American Depository Receipt (ADR),美国存托凭证
American Depository Share (ADS),美国存托股份
American Option,美式期权
American Stock Exchange,美国股票交易所
Amortization,摊销
Analyst,分析员
Angel Investor,天使投资者
Annualize,年度化
Annual General Meeting (AGM),年度股东大会
Annual Report,年报
Annuity,年金
Annuity Due,即付年金
Anti-dilution Provision,反摊薄条款
Anti-takeover Measure,反收购措施
Anti-takeover Statute,反收购法规
Anti-trust,反垄断法
Any and All Bid,所有出价
APICS Business Outlook Index,APICS（美国生产及库存控制协议）商业前景指数
Appraisal,价值评估
Appreciation,升值
Arbitrage,套汇
Arbitrage Bond,套汇债券
Arbitrage Pricing Theory (APT),套汇定价理论
Arbitrage Trading Program (ATP),套汇交易理论
Arbitration,仲裁
Arms Length Transaction,公平交易
Asian Option,亚洲式期权
Ask (Price),买方叫价
Assessed Value,评估后价值
Assessor,估价人
Asset,资产
Asset-Backed Security,资产抵押证券
Asset Allocation,资产分配
Asset Allocation Fund,资产分配基金
Asset Coverage Ratio,资产偿付比率
Asset-Liability Management,资产负债管理
Asset Management,资产管理
Asset Play,资产隙
Asset Redeployment,资产重新配置
Asset Swap,资产互换
Asset Turnover,资产周转率
Asset Valuation,资产估值
Assets Under Management,管理资产额
Assignment,转让
At the Money,到价
ATP,套汇交易理论
Auction Market,拍卖市场
Audit,审计
Auditor's Report,审计师报告
Authorized Stock,授权股份
Auto Sales,汽车销售额
Automated Bond System (ABS),自动债券系统
Automated Confirmation Transaction Service (ACT),自动确认交易系统
Average Annual Growth Rate,平均年度增长率
Average Annual Return,平均年度回报率
Average Life,平均时期
Average Price,平均价格
Average Price Call,平均价格买入期权权
Average Price Put,平均价格出售期权
Average Up,提高平均价格
English Terms,中文翻译
Back Door Listing,后门上市/借壳上市
Backlog,订单积压
Back Office,后线
Back Pricing,往后定价
Back-to-Back Loan,背对背贷款
Backstop,最后担保
Bad Debt,不良贷款
Balanced Fund,平衡基金
Balanced Investment Strategy,平衡投资策略
Balance Of Payments (BOP),国际收支差额
Balance Of Trade (BOT),国际贸易差额
Balance Sheet,资产负债表
Balloon Option,气球型期权
Balloon Maturity,气球型期限
Bancassurance,银行出售保险
Bank Guarantee,银行担保
Bank for International Settlements (BIS),国际结算银行
Bank Insurance,银行保险
Bank Investment Contract (BIC),银行投资合约
Bank Rate,银行利率
Bank run,银行挤兑
Bankruptcy,破产
Bankruptcy Risk,破产风险
Barrel's per Day,每日产量（桶）
Barter,以物易物
Base Period,基本时期
Basing,平稳期
Basis Point (BP),基点
Bear Market,熊市
Bear Raid,空头猛跌，大量抛空以使价格下跌
Bearer Form,凭票即付形式，无记名形式
Beginning Inventory,期初库存
Behavioral Economics,行为经济学
Behavioral Finance,行为金融学
Benchmark,基准
Benchmark Bond,基准债券
Beneficial Owner,受益者
Beneficiary,受益方
Benefit Cost Ratio - (BCR),效益成本比率
Bequest,遗赠，遗产
Best Ask,最低叫价
Best Bid,最高出价
Best Efforts,尽力推销
Best Execution,最佳执行
Best Practice,最佳做法/最佳惯例
Best Price Rule,最佳价格规则
Beta (Coefficient),贝塔系数
Bid,买方出价
Bid-Ask Spread,买卖差价
Bid Price,买方出价
Black Knight,黑武士
Black Monday,黑色星期一
Black Thursday,黑色星期四
Block Trade,大宗交易
Blue Chip,蓝筹
Board Lot,单位数量，整份股
Board Of Directors,董事会
Bond,债券
Bond Anticipation Note (BAN),预期债券票据
Bond Equivalent Yield (BEY),债券等值收益
Bond Fund,债券基金
Bond Option,债券期权
Bond Rating,债券评级
Bond Swap,债券互换
Book Building,需求建档
Book Runner,账簿管理人
Book Value,账面价值
Book Value Per Common,每普通股账面价值
Break Even Point (BEP),收支平衡点
Bridge financing,过渡融资
Bridge loan,过渡贷款
Broad-Based Weighted Average,广泛基础加权平均
Broad-Base Index,广泛基础指数
Bubble,市场泡沫
Budget,预算案
BUGS Index,无对冲黄金股票指数
Bulge Bracket,表现最佳承销商
Bull,乐观投资者
Bull Vertical Spread,看涨的纵向多空套做
Bulldog Bond,猛犬债券
Bullet Bond,期末一次性偿还债券
Bullet Loan,期末一次性偿还贷款
Bullet Repayment,一次性偿还
Bullet Trade,子弹式交易
Bull Market,牛市
Bull Spread,看涨的多空套做
Burn Rate,资金消耗率
Business to Business (B2B),商业对商业（B2B)
Buy,买入
Buy And Hold,买入并持有
Buying Power,购买力
Buyout,收购
Buy Back,回购
Buy-In,补偿买进
Buy-Side,买方
Buyer's Market,买方市场
Buying Hedge,买入对冲
English Terms,中文翻译
CD,存款证
CEDEL,CEDEL
CEO,首席行政官
CFA,注册财务分析师
CFO,首席财务官
COGS,已售商品成本
COO,首席营运官
CPA,注册公共会计师
CPI,消费物价指数
Calendar Year,日历年
Call,买入期权
Call Date,买回日期
Call Loan,短期同业拆借，通知贷款
Call Loan Rate,短期同业拆借利率，通知贷款利率
Call Option,买入期权
Call Premium,买回溢价
Call Warrant,买入认股权证
Callable Bond,可买回债券
Callable Preferred Stock,可买回优先股
CAMELS Rating System,CAMELS评级制度
Capital,资本/资本金
Capital Account,资本帐户
Capital Adequacy Ratio (CAR),资本充足率
Capital Appreciation,资本升值
Capital Asset,资本资产
Capital Asset Pricing Model (CAPM),资本资产计价模型
Capital Base,资本金基础
Capital Budgeting,资本预算
Capital Employed,运用资本
Capital Expenditure,资本开支
Capital Gain,资本收益
Capital Goods,资本财货
Capital Guarantee Fund,资本保证基金
Capital Intensive,资本密集
Capital Loss,资本损失
Capital Lease,资本化租赁
Capital Markets,资本市场
Capital Note,资本票据
Capitalism,资本主义
Capitalization,总资本，总市值
Capitalize,资本化
Capped Option,有上限期权
Captive Fund,专属基金
Carrying Cost Of Inventory,库存置存成本
Carrying Value,账面现行价值
Carveout,分拆上市
Cash,现金
Cash And Cash Equivalents,现金及现金等价物
Cash Balance Pension Plan,现金余额养老金计划
Cash Budget,现金预算
